Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1277.719971,1305.099976,1266.890015,1286.77002,1286.77002,44450000
1985-02-01,1276.939941,1307.530029,1263.910034,1284.01001,1284.01001,207300000
1985-03-01,1285.339966,1309.959961,1242.819946,1266.780029,1266.780029,201050000
1985-04-01,1264.800049,1290.300049,1245.800049,1258.060059,1258.060059,187110000
1985-05-01,1257.180054,1320.790039,1235.530029,1315.410034,1315.410034,242250000
1985-06-01,1321.23999,1341.170044,1285.390015,1335.459961,1335.459961,205340000
1985-07-01,1334.01001,1372.199951,1313.400024,1347.449951,1347.449951,235130000
1985-08-01,1350.02002,1361.900024,1303.650024,1334.01001,1334.01001,176010000
1985-09-01,1333.670044,1348.22998,1283.709961,1328.630005,1328.630005,196960000
1985-10-01,1329.640015,1384.630005,1315.189941,1374.310059,1374.310059,253060000
1985-11-01,1372.130005,1486.930054,1367.780029,1472.130005,1472.130005,303580000
1985-12-01,1471.329956,1570.869995,1450.339966,1546.670044,1546.670044,361820000
1986-01-01,1546.219971,1582.910034,1491.73999,1570.98999,1570.98999,311020000
1986-02-01,1570.530029,1732.569946,1564.329956,1709.060059,1709.060059,336860000
1986-03-01,1706.189941,1849.73999,1663.069946,1818.609985,1818.609985,355900000
1986-04-01,1822.079956,1870.160034,1712.52002,1783.97998,1783.97998,441280000
1986-05-01,1777.900024,1898.219971,1746.530029,1876.709961,1876.709961,299610000
1986-06-01,1874.189941,1908.619995,1816.069946,1892.719971,1892.719971,264770000
1986-07-01,1889.76001,1922.670044,1741.560059,1775.310059,1775.310059,341490000
1986-08-01,1775.310059,1918.589966,1730.599976,1898.339966,1898.339966,297880000
1986-09-01,1903.26001,1933.349976,1732.98999,1767.579956,1767.579956,401220000
1986-10-01,1775.030029,1894.689941,1761.25,1877.709961,1877.709961,399830000
1986-11-01,1880.619995,1926.459961,1797.099976,1914.22998,1914.22998,365620000
1986-12-01,1900.170044,1971.73999,1880.47998,1895.949951,1895.949951,404320000
1987-01-01,1900.589966,2214.570068,1897.359985,2158.040039,2158.040039,536660000
1987-02-01,2152.97998,2266.449951,2134.419922,2223.98999,2223.98999,428960000
1987-03-01,2228.209961,2399.570068,2209.080078,2304.689941,2304.689941,440920000
1987-04-01,2277.129883,2428.409912,2180.540039,2286.360107,2286.360107,561360000
1987-05-01,2282.23999,2380.77002,2188.530029,2291.570068,2291.570068,476490000
1987-06-01,2309.620117,2466.040039,2260.620117,2418.530029,2418.530029,422990000
1987-07-01,2410.080078,2588.330078,2391.26001,2572.070068,2572.070068,490720000
